app_id,name,playtime_hours,last_played,achievements_total,achievements_unlocked,achievements_pct,avg_global_unlock_pct,rarity_floor,has_multiplayer_achievement,hltb_main_hours,hltb_completionist_hours,completionist_ratio,hltb_found
50130,Mafia II (Classic),19.85,1461493203,67,34,0.5074626865671642,32.617910447761204,2.4,False,11.189,11.189,1.0,False
50300,Spec Ops: The Line,0.7666666666666667,1407665077,50,4,0.08,33.946,3.6,False,6.12,16.3,2.6633986928104574,True
50620,Darksiders,1.05,1463683322,43,0,0.0,19.962790697674418,2.6,False,17.07,27.99,1.6397188049209137,True
50650,Darksiders II,9.65,1381075844,50,14,0.28,25.476000000000003,1.7,False,21.54,45.73,2.1230269266480963,True
55100,Homefront,0.0,0,47,0,0.0,15.936170212765955,3.1,True,4.16,9.64,2.3173076923076925,True
55110,Red Faction: Armageddon,0.0,0,58,0,0.0,18.562068965517245,2.0,False,8.03,19.8,2.4657534246575343,True
55150,"Warhammer 40,000: Space Marine - Anniversary Edition",0.0,0,60,0,0.0,21.94666666666667,1.6,True,7.59,22.01,2.899868247694335,True
55230,Saints Row: The Third,1.0166666666666666,1390045434,83,5,0.060240963855421686,20.119277108433742,3.2,True,15.4,45.75,2.9707792207792205,True
57300,Amnesia: The Dark Descent,1.7833333333333334,1449239296,18,0,0.0,7.394444444444444,2.1,False,7.95,11.71,1.4729559748427674,True
58230,MacGuffin's Curse,0.0,0,15,0,0.0,11.1,6.1,True,11.23,15.47,1.377560106856634,True
63000,HOARD,0.0,0,129,0,0.0,16.17441860465116,1.0,True,21.543000000000003,21.543000000000003,1.0,False
65300,Dustforce,0.0,0,1,0,0.0,0.5,0.5,False,29.69,42.83,1.442573256988885,True
65530,SpellForce 2 - Faith in Destiny,0.0,0,0,0,0.0,0.0,0.0,False,3.38,0.0,0.0,True
65930,The Bureau: XCOM Declassified,0.0,0,41,0,0.0,16.590243902439024,2.5,False,10.56,17.68,1.674242424242424,True
67000,The Polynomial,0.11666666666666667,1397670567,14,2,0.14285714285714285,10.249999999999996,0.9,False,0.43,4.41,10.255813953488373,True
70000,Dino D-Day,0.0,0,77,0,0.0,7.946753246753248,2.8,True,5.95,14.2,2.3865546218487395,True
70300,VVVVVV,1.15,1425221762,19,0,0.0,3.273684210526316,0.9,False,2.4,4.84,2.0166666666666666,True
70400,Recettear: An Item Shop's Tale,0.4666666666666667,1566140570,0,0,0.0,0.0,0.0,False,13.24,49.72,3.755287009063444,True
70600,Worms Ultimate Mayhem,0.0,0,38,0,0.0,4.976315789473681,1.2,True,7.17,21.66,3.0209205020920504,True
70620,Worms Crazy Golf,0.0,0,29,0,0.0,35.22413793103449,3.2,True,3.95,12.02,3.043037974683544,True
70640,Worms,0.0,0,0,0,0.0,0.0,0.0,False,3.93,12.37,3.1475826972010177,True
70650,Worms Blast,0.0,0,0,0,0.0,0.0,0.0,False,6.62,14.0,2.1148036253776437,True
70660,Worms Pinball,0.0,0,0,0,0.0,0.0,0.0,False,0.17,1.23,7.235294117647058,True
71230,Crazy Taxi,0.25,1425311377,12,0,0.0,10.100000000000001,2.9,False,2.58,6.45,2.5,True
71240,SEGA Bass Fishing,0.0,0,12,0,0.0,7.550000000000001,2.4,False,0.0,0.0,1.0,True
71250,Sonic Adventure DX,0.13333333333333333,1420389111,15,0,0.0,21.093333333333337,3.0,False,9.08,34.09,3.7544052863436126,True
71260,Space Channel 5: Part 2,0.0,0,12,0,0.0,11.449999999999996,2.2,False,2.7,10.45,3.87037037037037,True
71340,Sonic Generations,0.0,0,49,0,0.0,25.818367346938768,2.8,False,5.41,23.73,4.3863216266173755,True
72400,Clones,0.0,0,64,0,0.0,4.353125000000007,3.7,True,0.0,0.0,1.0,True
72410,Clones Demo,0.0,0,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
72850,The Elder Scrolls V: Skyrim,108.35,1425311875,75,58,0.7733333333333333,31.217333333333347,3.6,False,34.69,237.39,6.843182473335255,True
80300,Puzzle Bots,0.0,0,0,0,0.0,0.0,0.0,False,2.48,2.82,1.1370967741935483,True
91310,Dead Island,1.6166666666666667,1410550267,48,1,0.020833333333333332,24.868749999999988,2.5,True,18.36,48.6,2.647058823529412,True
92800,SpaceChem,0.38333333333333336,1565980548,20,0,0.0,10.315,5.7,False,41.52,65.91,1.5874277456647397,True
94300,The Dream Machine,0.0,0,46,0,0.0,8.77391304347826,6.1,False,13.28,17.16,1.2921686746987953,True
94500,Back to the Future: Ep 2 - Get Tannen!,0.0,0,0,0,0.0,0.0,0.0,False,2.25,2.71,1.2044444444444444,True
94510,Back to the Future: Ep 3 - Citizen Brown,0.0,0,0,0,0.0,0.0,0.0,False,2.37,2.62,1.1054852320675106,True
94520,Back to the Future: Ep 4 - Double Visions,0.0,0,0,0,0.0,0.0,0.0,False,2.51,2.85,1.1354581673306774,True
